Vertices	Distances
     378	      122
     379	      179
     380	      109
     381	      181
     382	      139
     383	      105
     384	      169
     385	       89
     386	      174
     387	      147
     388	      146
     389	      103
     390	      111
     391	      113
     392	      120
     393	      145
     394	      144
     395	      115
     396	      139
     397	      169
     398	      118
     399	      121
     400	      146
     401	      194
     402	      167
     403	      132
     404	      127
     405	      148
     406	      157
     407	      158
     408	      126
     409	      134
     410	       69
     411	       93
     412	      132
     413	      157
     414	      123
     415	      159
     416	      142
     417	      126
     418	      128
     419	      143
     420	      158
     421	      169
     422	      155
     423	      130
     424	      115
     425	      141
     426	      128
     427	      149
     428	      126
     429	      107
     430	      130
     431	      105
     432	      150
     433	      125
     434	      118
     435	      122
     436	      150
     437	      101
     438	      162
     439	      157
     440	      128
     441	      145
     442	      157
     443	      148
     444	      136
     445	       95
     446	      175
     447	      137
     448	       78
     449	      146
     450	      115
     451	      136
     452	      149
     453	      128
     454	      135
     455	      184
     456	      153
     457	      151
     458	      156
     459	      166
     460	      128
     461	      174
     462	       89
     463	      132
     464	      136
     465	      106
     466	      176
     467	      122
     468	       83
     469	      121
     470	       99
     471	      165
     472	      134
     473	       64
     474	       97
     475	      127
     476	      155
     477	      159
     478	      164
     479	      143
     480	      162
     481	      158
     482	       97
     483	      139
     484	      167
     485	      137
     486	      154
     487	      124
     488	      157
     489	      134
     490	       86
     491	      181
     492	      194
     493	      132
     494	      165
     495	      129
     496	      164
     497	      163
     498	      147
     499	      126
     500	      151
     501	      156
     502	      160
     503	       98
     504	      169
     505	      112
     506	      150
     507	      172
     508	       93
     509	      140
     510	      114
     511	      145
     512	      175
     513	      157
     514	      120
     515	      120
     516	      159
     517	       96
     518	      118
     519	      158
     520	      140
     521	      152
     522	      129
     523	      141
     524	      145
     525	      134
     526	      117
     527	      125
     528	      132
     529	       99
     530	      167
     531	       64
     532	      155
     533	       78
     534	      107
     535	      128
     536	      129
     537	      145
     538	      164
     539	      171
     540	      132
     541	      165
     542	       99
     543	      128
     544	      110
     545	      104
     546	      112
     547	      119
     548	      121
     549	      147
     550	      136
     551	      156
     552	      119
     553	      179
     554	      116
     555	      136
     556	      146
     557	       80
     558	       85
     559	      210
     560	      102
     561	      134
     562	      137
     563	      123
     564	      209
     565	      155
     566	      129
     567	      150
     568	      141
     569	      121
     570	      107
     571	      150
     572	      134
     573	      170
     574	      119
     575	      135
     576	      142
     577	      130
     578	      180
     579	      111
     580	      135
     581	      138
     582	       52
     583	      143
     584	       89
     585	      156
     586	      122
     587	      168
     588	      183
     589	      130
     590	      153
     591	      155
     592	      144
     593	      186
     594	      138
     595	      171
     596	      138
     597	      137
     598	      109
     599	      169
     600	      133
     601	      170
     602	      152
     603	      144
     604	      138
     605	      184
     606	      129
     607	      115
     608	      149
     609	      136
     610	      132
     611	      139
     612	      146
     613	      117
     614	       95
     615	      165
     616	      123
     617	      154
     618	      145
     619	      157
     620	      202
     621	      167
     622	      122
     623	      177
     624	       95
     625	       84
     626	      131
     627	      162
     628	      132
     629	      206
     630	      131
     631	      120
     632	      114
     633	      137
     634	      170
     635	      134
     636	      104
     637	      125
     638	      109
     639	      168
     640	      144
     641	      140
     642	      157
     643	      139
     644	      146
     645	      164
     646	      151
     647	      153
     648	      190
     649	      155
     650	       91
     651	      138
     652	      143
     653	      144
     654	      156
     655	      124
     656	      107
     657	       96
     658	      132
     659	      121
     660	      114
     661	      144
     662	      140
     663	      172
     664	      172
     665	      150
     666	      175
     667	      148
     668	      132
     669	      155
     670	      117
     671	      117
     672	      116
     673	      151
     674	      164
     675	      171
     676	      168
     677	       98
     678	      129
     679	      210
     680	      163
     681	       88
     682	      141
     683	      124
     684	      137
     685	      165
     686	      116
     687	      149
     688	      171
     689	      151
     690	      143
     691	       86
     692	      151
     693	      171
     694	      127
     695	      192
     696	      137
     697	      114
     698	      150
     699	      176
     700	      188
     701	      155
     702	      123
     703	      144
     704	      177
     705	      137
     706	      182
     707	      120
     708	      108
     709	      194
     710	       91
     711	      150
     712	      173
     713	      162
     714	       71
     715	      129
     716	      183
     717	      133
     718	      138
     719	      151
     720	      145
     721	      203
     722	      113
     723	      121
     724	      160
     725	      128
     726	      151
     727	      183
     728	      156
     729	      143
     730	      135
     731	      135
     732	      170
     733	      135
     734	      199
     735	      121
     736	      166
     737	      154
     738	       94
     739	      158
     740	      141
     741	      127
     742	      148
     743	      189
     744	      145
     745	      146
     746	      148
     747	      142
     748	      167
     749	       75
     750	      100
     751	      216
     752	      155
     753	      135
     754	      108
     755	      165
     756	      140
     757	      136
     758	      170
     759	      172
     760	      103
     761	      110
     762	      200
     763	        3
     764	      164
     765	      102
     766	      137
     767	      178
     768	      169
     769	      113
     770	      136
     771	      101
     772	      170
     773	      110
     774	        5
     775	      110
     776	      163
     777	      203
     778	      115
     779	      128
     780	      189
     781	      136
     782	      178
     783	      119
     784	      100
     785	      142
     786	      140
     787	      163
     788	      132
     789	      145
     790	      136
     791	      137
     792	      175
     793	      130
     794	      116
     795	      135
     796	      176
     797	      141
     798	      128
     799	      144
     800	      140
     801	      206
     802	      168
     803	      144
     804	      100
     805	      159
     806	      122
     807	      130
     808	      143
     809	      150
     810	      139
     811	      123
     812	      150
     813	      162
     814	      133
     815	      166
     816	      116
     817	      146
     818	      102
     819	      176
     820	      125
     821	       80
     822	      147
     823	      157
     824	      152
     825	      156
     826	      147
     827	      161
     828	      152
     829	      150
     830	      120
     831	      164
     832	      135
     833	      133
     834	      104
     835	      132
     836	      169
     837	      148
     838	      148
     839	      160
     840	      150
     841	      159
     842	      172
     843	      145
     844	      148
     845	      157
     846	      126
     847	      122
     848	      124
     849	      124
     850	      162
     851	      157
     852	      127
     853	      136
     854	      146
     855	      115
     856	      112
     857	      184
     858	      162
     859	      152
     860	      116
     861	      149
     862	      195
     863	      167
     864	      148
     865	      144
     866	      111
     867	      150
     868	      173
     869	      127
     870	      144
     871	      145
     872	      126
     873	      141
     874	      156
     875	      123
     876	      137
     877	      158
     878	       86
     879	      133
     880	      162
     881	      196
     882	      117
     883	      154
     884	      118
     885	      169
     886	      157
     887	      145
     888	      148
     889	      118
     890	      140
     891	      122
     892	      145
     893	      171
     894	      156
     895	      149
     896	      152
     897	      215
     898	      128
     899	      183
     900	      171
     901	      117
     902	      157
     903	       99
     904	       86
     905	      151
     906	      174
     907	      183
     908	      123
     909	       97
     910	      125
     911	      170
     912	      141
     913	      164
     914	      154
     915	       83
     916	      120
     917	      145
     918	      172
     919	       53
     920	      129
     921	      242
     922	      125
     923	      113
     924	      136
     925	      130
     926	      144
     927	      192
     928	      160
     929	      182
     930	      194
     931	       76
     932	      193
     933	      112
     934	      140
     935	      113
     936	      171
     937	      150
     938	      143
     939	      116
     940	      171
     941	      124
     942	      125
     943	      120
     944	      156
     945	      162
     946	      172
     947	      171
     948	      104
     949	      164
     950	      126
     951	      155
     952	      167
     953	      176
     954	      144
     955	      157
     956	      126
     957	      121
     958	      164
     959	      104
     960	      165
     961	       89
     962	      146
     963	      147
     964	       86
     965	      180
     966	      129
     967	      123
     968	      139
     969	      181
     970	      148
     971	      198
     972	      110
     973	      170
     974	      212
     975	      148
     976	      147
     977	      200
     978	      130
     979	      153
     980	      158
     981	      203
     982	      162
     983	      199
     984	      174
     985	      141
     986	      165
     987	      124
     988	      155
     989	      150
     990	      126
     991	      103
     992	      156
     993	      145
     994	      133
     995	      172
     996	       44
     997	      146
     998	      139
     999	       80
    1000	      133
    1001	      135
    1002	       92
    1003	      141
    1004	      140
    1005	      115
-------------------------
Time taken : 0.044208 seconds.
